epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1529,5.12896,10.9636,4.39863,0,0,0,0,6.82893,68.4352,4.16322,8e-05,8e-05,8e-05
2,101.443,5.04126,8.98423,4.31079,0,0,0,0,6.82938,68.5975,4.168,0.000157725,0.000157725,0.000157725
3,141.668,5.25354,11.9958,4.42296,0,0,0,0,6.83015,68.8169,4.17508,0.0002107,0.0002107,0.0002107
4,198.38,5.19344,11.4179,4.26795,0,0,0,0,6.8311,68.9879,4.18298,0.000238925,0.000238925,0.000238925
5,262.955,4.85747,9.53739,4.20174,0,0,0,0,6.78646,68.8949,4.16911,0.0002424,0.0002424,0.0002424
6,327.033,4.37787,7.79987,4.22508,0,0,0,0,6.72549,68.4725,4.14163,0.000221125,0.000221125,0.000221125
7,392.188,4.47851,8.45468,4.15029,0,0,0,0,6.62383,67.6923,4.09499,0.0001751,0.0001751,0.0001751
8,456.899,4.27413,6.79264,4.20794,0,0,0,0,6.55637,67.129,4.06379,0.000104325,0.000104325,0.000104325
